Pessoa;P1;P2;P3;P4;P5;P6;P7;P8;P9;Sexo;Idade;Região;Classe Social
1;Justo;Baixo;Responder perguntas sobre os meus contatos;8;"Características do veículo (marca, ano e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Sobre a profissão que exerce ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows";De 21 a 30;Até R$ 7.240;Me sinto extremamente confortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;45;Sudeste;B
2;Justo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre a profissão que exerce";Menos de 5;Até R$ 1.448;Me sinto um pouco desconfortável;Fazer entregas com o seu veículo;Feminino;22;Sudeste;E
3;Justo;Baixo;Compartilhar link de oferta;9;"Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui filhos menores de 12 anos ; Se possui filhos menores de 18 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Se gosta de ir em shows";Menos de 5;Não possuo;Me sinto um pouco desconfortável;Pesquisas de mercado em campo para nossas empresas parceiras;Feminino;17;Sudeste;D
4;Baixo;Baixo;Ter parte do meu dinheiro de volta (caso eu mesmo compre);7;"Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Aniversário e outras datas festivas (Casamento por exemplo) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; Se possui smartphone?  ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Se tem plano de saúde ; Se possui seguro de vida, de imóvel ou de carro ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Eu não responderia à nenhuma destas questões";De 41 a 50;Até R$ 724;Me sinto extremamente desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;41;Sudeste;E
5;Justo;Justo;Vender presencialmente;5;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Informações sociais como sexo, idade, estado civil por exemplo ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";Menos de 5;Não possuo;Me sinto extremamente confortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;16;Norte;D
6;Justo;Justo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);Eu não responderia à nenhuma destas questões;Menos de 5;Não possuo;Me sinto extremamente desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;20;Norte;E
7;Justo;Justo;O aplicativo enviar ofertas aos meus contatos;7;Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc);Menos de 5;Até R$ 724;Não sei se sinto confortável ou desconfortável;Efetuar tarefas das nossas empresas parceiras utilizando o seu computador;Feminino;21;Sudeste;E
8;Baixo;Baixo;Responder perguntas sobre os meus contatos;10 (Instalaria com certeza);"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Informações sociais como sexo, idade, estado civil por exemplo ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui casa própria ou se é alugada ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Se gosta de viajar e com que frequência ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Se o celular é pós pago ou pré pago ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc) ; Se tem intenção de comprar algum produto específico (um IPhone por exemplo)";De 11 a 20;Até R$ 1.448;Me sinto um pouco desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais ; Pesquisas de mercado em campo para nossas empresas parceiras ; Efetuar tarefas das nossas empresas parceiras utilizando o seu computador";Feminino;25;Sudeste;C
9;Justo;Justo;Responder perguntas sobre os meus contatos;9;"Meio de pagamento preferido (dinheiro, cartão de débito, cartão de crédito e etc) ; Lojas preferidas (Americanas, Carrefour, Amazon, Magazine Luiza e etc) ; Se possui animais de estimação ; Se costuma comprar por impulso ou pesquisa bastante antes de comprar ; A frequência com que compra pela internet (semanal, quinzenal, mensal e etc) ; Se possui smartphone?  ; Se costuma comprar parcelado ou à vista? ; Sobre o meio de comunicação preferido? (Rádio, TV, Internet, Revistas e etc) ; Sobre rede social preferida? (Facebook, Twitter, Instagram e etc) ; Se possui filhos menores de 12 anos ; Se possui casa própria ou se é alugada ; Se os filhos estudam em colégio particular ; Se faz academia ou pratica esportes de modo geral ; Se gosta de ir em shows ; Se tem plano de saúde ; Sobre a sua operadora de telefonia (Claro, Vivo e etc) ; Sobre a operadora de TV a cabo (Claro, Vivo, NET e etc)";De 31 a 40;Até R$ 724;Não sei se sinto confortável ou desconfortável;"Vendas via rede social (compartilhando links de ofertas) ; Vendas presenciais";Feminino;65;Sudeste;D
10;Baixo;Baixo;Adicionar contatos;7;"Informações sociais como sexo, idade, estado civil por exemplo ; Se os filhos estudam em colégio particular";De 41 a 50;Até R$ 724;Me sinto um pouco desconfortável;Vendas via rede social (compartilhando links de ofertas);Feminino;30;Sudeste;E
